,t,RSI_Total,Adv_Total,Hill_Total,Jack_Total,Tiered_Total,Loser_Total,Random_Total,Pred_Total,Insider_Total
0,10515,398927.81564000004,398115.55775437877,399712.37870000006,392901.37681954924,396160.8512402405,397893.77735000005,403074.9858611161,397308.1110778509,398218.73490141187
0,10516,398942.02664000005,398162.1154205032,399772.10870000004,392928.15140099305,396179.2763536701,397922.51735000004,403158.47938457073,397327.31786876114,398228.26836133155
0,10517,398861.28064,397887.41976188007,399438.91870000004,392959.3722406182,395958.17499251483,397915.42735000007,402803.513253521,397212.6679412029,398191.6858694725
0,10518,398842.15564,397791.97926056944,399311.3087000001,392950.2620289424,395976.6001059445,397877.50735,402563.5303785499,397205.58797576284,398233.63055308233
0,10519,398768.55864000006,397579.5497304598,399069.2187,393005.8694382654,395681.7982910708,397922.13735000003,402440.6746713971,397075.58922788344,398137.09280361474
0,10520,398641.02764000004,397305.4217928798,398766.0287000001,392864.831246078,395165.8951150419,397854.50735,402448.06406596204,396806.8991670695,397812.2328973884
0,10521,398545.02964,397046.4345966459,398461.05870000005,392794.18706307537,394852.66818673856,397797.94735000003,402241.7136470873,396635.2793583594,397655.6194332367
0,10522,398506.44164000003,396904.4364292107,398271.69870000007,392694.51066297764,394852.66818673856,397684.82735000004,401918.2364866615,396594.619006695,397655.6194332367
0,10523,398442.69664000004,396813.6462660236,398150.37870000006,392280.40671429824,394760.5426195906,397377.5573500001,401824.24149176467,396453.6442396357,397414.92885591945
0,10524,398391.23164,396667.56548150803,397980.60870000004,392283.3554051588,394576.29148529447,397378.48735,401717.13042270095,396363.5221144073,397343.18064227956
0,10525,398030.26192,396047.74280158733,397239.7687000001,391814.8474187621,393839.2869481103,397022.26735000004,401207.81141671626,395890.26097883075,396824.81657702115
0,10526,397943.19992000004,395890.036171763,397007.62870000006,391357.2311909936,393931.41251525836,396623.73735,400735.71305167995,395802.9667717969,396711.2300161808
0,10527,398171.97392,396467.9515236828,397704.10870000004,391680.7172903104,394539.4412584353,396890.70735000004,401307.529839512,396187.7363373447,397083.11541559565
0,10528,398196.70892,396350.3947738408,397560.9087,391958.11634754355,394521.0161450057,397063.23735,401062.3019645672,396227.965708954,397253.4482019961
0,10529,398267.05492,396432.451981824,397676.9087000001,392291.8194598611,394539.4412584353,397325.64735000004,401226.66814677184,396320.8802640946,397406.26494288264
0,10530,398283.91492,396662.9151433846,397954.10870000004,392050.1172723457,394686.8421658721,397183.00735,401571.13491885446,396353.6098064735,397301.54321470275
0,10531,398204.47192000004,396546.49383562885,397877.6487000001,392195.8474892375,394078.8134226952,397389.47735000006,402050.62063765374,396133.71833356016,397003.4655524041
0,10532,398398.17792000005,397001.0123726077,398473.2687000001,392799.959659254,394244.63944356167,397922.74735,402882.9356789609,396392.9530573983,397261.1103578797
0,10533,398148.46592,396383.51486174867,397748.7087,392543.75814973115,393452.35956608865,397733.95735000004,402446.61556789937,395946.2084687598,396812.1818419449
0,10534,398242.08292,396644.8272270444,398064.1987,392644.80798970937,393710.3111541031,397825.46735000005,402725.96270886564,396103.3587308391,396945.8107324225
0,10535,398366.76992,397098.7780429801,398603.1587000001,392579.2562994397,394170.9389898432,397806.09735000005,403195.9121676672,396326.9305923521,397063.96898019646
0,10536,398320.25392000005,396978.89612407633,398435.2787000001,392379.0768507805,394207.7892167024,397617.99735,402877.6822290863,396280.87203056895,397030.08687123505
0,10537,398292.55892,396899.1640851549,398338.4587000001,392349.2622253552,394134.088762984,397589.71735000005,402786.3160357653,396235.1093819757,396993.23664437584
0,10538,398214.15792,396801.9661358256,398230.83870000014,392153.59312665317,393912.98740182875,397468.03735000006,402835.6921567033,396092.0878069456,396778.0715190161
0,10539,398310.15392,396989.9542483421,398444.8387000001,392291.5609224235,394226.214330132,397553.3673500001,402880.30539488,396269.7764688409,396994.21252766805
0,10540,398137.83792,396691.3848931689,398101.13870000007,391951.87429242354,393728.7362675327,397330.03735000006,402809.44763530063,395960.4000577852,396589.6749904122
0,10541,398075.66492,396540.6537705299,397906.7187,391780.007856862,393655.03581381426,397178.03735000006,402556.3417602618,395873.52956092556,396505.97289564443
0,10542,397656.158605,395731.0855300741,396988.61870000005,391515.9382455327,392365.2778737419,397037.97735000006,402291.7748305738,395205.82514471054,395783.114446829
0,10543,397382.478605,394967.50723469956,396108.85870000004,391722.80607720354,391388.74686197296,397185.22735000006,401748.34914665663,394772.6333237773,395496.2157019898
0,10544,397459.44860500004,395106.0447909866,396201.29870000004,391302.8827927502,392033.6258320091,396777.27735000005,401274.1085749498,394947.9905597266,395672.16287399246
